239 0.5
-7 -30 0
-6.5 -30 0
-6 -30 0
-5.5 -30 0
-5 -30 0
-4.5 -30 0
-4 -30 0
-3.5 -30 0
-3 -30 0
-2.5 -30 0
-2 -30 0
-1.5 -30 0
-1 -30 0
-0.5 -30 0
0 -30 0
0.5 -30 0
1 -30 0
1.5 -30 0
2 -30 0
2.5 -30 0
3 -30 0
3.5 -30 0
4 -30 0
4.5 -30 0
5 -30 0
5.5 -30 0
6 -30 0
6.5 -30 0
7 -30 0
-7.5 -29.5 0
7.5 -29.5 0
-7.5 -29 0
7.5 -29 0
-7.5 -28.5 0
7.5 -28.5 0
-7.5 -28 0
7.5 -28 0
-7.5 -27.5 0
7.5 -27.5 0
-7.5 -27 0
7.5 -27 0
-7.5 -26.5 0
7.5 -26.5 0
-7.5 -26 0
7.5 -26 0
-7.5 -25.5 0
7.5 -25.5 0
-7.5 -25 0
7.5 -25 0
-7.5 -24.5 0
7.5 -24.5 0
-7.5 -24 0
7.5 -24 0
-7.5 -23.5 0
7.5 -23.5 0
-7.5 -23 0
7.5 -23 0
-7.5 -22.5 0
7.5 -22.5 0
-7.5 -22 0
7.5 -22 0
-7.5 -21.5 0
7.5 -21.5 0
-7.5 -21 0
7.5 -21 0
-7.5 -20.5 0
7.5 -20.5 0
-7.5 -20 0
7.5 -20 0
-7.5 -19.5 0
7.5 -19.5 0
-7.5 -19 0
7.5 -19 0
-7.5 -18.5 0
7.5 -18.5 0
-7.5 -18 0
7.5 -18 0
-7.5 -17.5 0
7.5 -17.5 0
-7.5 -17 0
7.5 -17 0
-7.5 -16.5 0
7.5 -16.5 0
-7.5 -16 0
7.5 -16 0
-7.5 -15.5 0
7.5 -15.5 0
-7.5 -15 0
7.5 -15 0
-7.5 -14.5 0
7.5 -14.5 0
-7.5 -14 0
7.5 -14 0
-7.5 -13.5 0
7.5 -13.5 0
-7.5 -13 0
7.5 -13 0
-7.5 -12.5 0
7.5 -12.5 0
-7.5 -12 0
7.5 -12 0
-7.5 -11.5 0
7.5 -11.5 0
-7.5 -11 0
7.5 -11 0
-7.5 -10.5 0
7.5 -10.5 0
-7.5 -10 0
7.5 -10 0
-7.5 -9.5 0
7.5 -9.5 0
-7.5 -9 0
7.5 -9 0
-7.5 -8.5 0
7.5 -8.5 0
-7.5 -8 0
7.5 -8 0
-7.5 -7.5 0
7.5 -7.5 0
-7.5 -7 0
7.5 -7 0
-7.5 -6.5 0
7.5 -6.5 0
-7.5 -6 0
7.5 -6 0
-7.5 -5.5 0
7.5 -5.5 0
-7.5 -5 0
7.5 -5 0
-7.5 -4.5 0
7.5 -4.5 0
-7.5 -4 0
7.5 -4 0
-7.5 -3.5 0
7.5 -3.5 0
-7.5 -3 0
7.5 -3 0
-7.5 -2.5 0
7.5 -2.5 0
-7.5 -2 0
7.5 -2 0
-7.5 -1.5 0
7.5 -1.5 0
-7.5 -1 0
7.5 -1 0
-7.5 -0.5 0
7.5 -0.5 0
-30 0 0
-29.5 0 0
-29 0 0
-28.5 0 0
-28 0 0
-27.5 0 0
-27 0 0
-26.5 0 0
-26 0 0
-25.5 0 0
-25 0 0
-24.5 0 0
-24 0 0
-23.5 0 0
-23 0 0
-22.5 0 0
-22 0 0
-21.5 0 0
-21 0 0
-20.5 0 0
-20 0 0
-19.5 0 0
-19 0 0
-18.5 0 0
-18 0 0
-17.5 0 0
-17 0 0
-16.5 0 0
-16 0 0
-15.5 0 0
-15 0 0
-14.5 0 0
-14 0 0
-13.5 0 0
-13 0 0
-12.5 0 0
-12 0 0
-11.5 0 0
-11 0 0
-10.5 0 0
-10 0 0
-9.5 0 0
-9 0 0
-8.5 0 0
-8 0 0
-7.5 0 0
7.5 0 0
8 0 0
8.5 0 0
9 0 0
9.5 0 0
10 0 0
10.5 0 0
11 0 0
11.5 0 0
12 0 0
12.5 0 0
13 0 0
13.5 0 0
14 0 0
14.5 0 0
15 0 0
15.5 0 0
16 0 0
16.5 0 0
17 0 0
17.5 0 0
18 0 0
18.5 0 0
19 0 0
19.5 0 0
20 0 0
